Subject,Dataset,Tweet ID,URL,Content,Author ID,Author Username,Author Blue Verified (T/F),Followers,Author Location,Likes,Views,Date,Original User Sentiment
Keir Starmer (UK PM),codomain,1976002223818801221,https://x.com/tcrock42222/status/1976002223818801221,RT @StephenM: I liked NYC better before we gave green cards to the intifada.,1822764725312143360,tcrock42222,False,137,"Delray Beach, FL",70154,2430996,"October 8, 2025 at 07:10 PM",Positive
Keir Starmer (UK PM),codomain,1968825565277753557,https://x.com/JerryErmogemou1/status/1968825565277753557,"The delicate flutter of a butterfly''s wings as it emerges from its chrysalis is a symbol of transformation and renewal, a testament to the resilience of life in all its forms.",1633796380354576387,JerryErmogemou1,False,24,,2,22,"September 18, 2025 at 11:52 PM",Positive
Keir Starmer (UK PM),codomain,1976320926691229849,https://x.com/JerryErmogemou1/status/1976320926691229849,"RT @narendramodi: The path-breaking India-UK CETA will create new job opportunities for youth, expand trade and benefit both our industries…",1633796380354576387,JerryErmogemou1,False,24,,26901,752239,"October 9, 2025 at 04:16 PM",Positive
Keir Starmer (UK PM),codomain,1974221548799045949,https://x.com/diane_lizbet/status/1974221548799045949,💯,772062804442484737,diane_lizbet,False,107,"England, United Kingdom",0,4,"October 3, 2025 at 09:14 PM",Positive
Keir Starmer (UK PM),codomain,1976270482015215753,https://x.com/23ModernStories/status/1976270482015215753,"RT @visegrad24: BREAKING:

Meloni introduces new bill to combat “Islamist &amp; cultural separatism”

- Full burqa and niqab ban in all public…",1447128271674650624,23ModernStories,False,1835,East Berlin,42034,852143,"October 9, 2025 at 12:56 PM",Positive
Keir Starmer (UK PM),codomain,1976270062282736019,https://x.com/23ModernStories/status/1976270062282736019,"RT @NiohBerg: Gaza right now.

All well fed and with fresh haircuts. There was never a genocide or a famine at any point in the past 2 year…",1447128271674650624,23ModernStories,False,1835,East Berlin,15312,408455,"October 9, 2025 at 12:54 PM",Positive
Keir Starmer (UK PM),codomain,1976269776742977957,https://x.com/23ModernStories/status/1976269776742977957,"RT @danwootton: Zip it, loser.
You tried to fuck it up with your recognition of a Palestinian state at the height of negotiations  to appea…",1447128271674650624,23ModernStories,False,1835,East Berlin,10580,316197,"October 9, 2025 at 12:53 PM",Positive
Keir Starmer (UK PM),codomain,1976298779738353867,https://x.com/23ModernStories/status/1976298779738353867,RT @raelbrav: Keep quiet! You played no part in the peace deal. You're a weak man.,1447128271674650624,23ModernStories,False,1835,East Berlin,3028,36747,"October 9, 2025 at 02:48 PM",Positive
Keir Starmer (UK PM),codomain,1976298511801925795,https://x.com/23ModernStories/status/1976298511801925795,RT @ArchRose90: When a ceasefire happens and you now have to find a new personality. https://t.co/8hrfhSGev4,1447128271674650624,23ModernStories,False,1835,East Berlin,5892,57845,"October 9, 2025 at 02:47 PM",Positive
Keir Starmer (UK PM),codomain,1976298140467683400,https://x.com/23ModernStories/status/1976298140467683400,RT @TiceRichard: Secretary Rubio confirming that Starmer recognising Palestinian state rewarded Hamas and set back peace process,1447128271674650624,23ModernStories,False,1835,East Berlin,1473,26359,"October 9, 2025 at 02:46 PM",Positive
Keir Starmer (UK PM),codomain,1976035433214857365,https://x.com/23ModernStories/status/1976035433214857365,"RT @FabrizioRomano: 🚨🔵 Steven Gerrard’s return to Rangers, closer than ever with talks advancing and set to continue this week.

Positive i…",1447128271674650624,23ModernStories,False,1835,East Berlin,25044,2366841,"October 8, 2025 at 09:22 PM",Positive
Keir Starmer (UK PM),codomain,1976320257771045193,https://x.com/8beeko/status/1976320257771045193,"RT @narendramodi: India-UK friendship is on the move and is filled with great vigour! 

A picture from earlier today, when my friend PM Sta…",2160447338,8beeko,False,16,,30546,624864,"October 9, 2025 at 04:14 PM",Positive
Keir Starmer (UK PM),codomain,1959084302815436885,https://x.com/8beeko/status/1959084302815436885,"Goi cu hu dua, a salad made with jellyfish, coconut, shrimp, pork, and herbs, is a popular appetizer in Vietnam.",2160447338,8beeko,False,16,,0,14,"August 23, 2025 at 02:44 AM",Positive
Keir Starmer (UK PM),codomain,1907284292251836913,https://x.com/CombatCritique/status/1907284292251836913,💔,1629161966173556737,CombatCritique,False,124,UFC Apex,0,19,"April 2, 2025 at 04:09 AM",Positive
Keir Starmer (UK PM),codomain,1976319801233637517,https://x.com/boris_feldman/status/1976319801233637517,"RT @Basil_TGMD: 🚨NHS Doctor who said Holocaust was a ""fabricated victim narrative"" has been SUSPENDED and will face a tribunal to decide fa…",933946545879244801,boris_feldman,False,147,"Vancouver, British Columbia",5098,87269,"October 9, 2025 at 04:12 PM",Positive
Keir Starmer (UK PM),codomain,1976253632376107507,https://x.com/kushwahatushar4/status/1976253632376107507,"RT @narendramodi: Wonderful rendition of Ed Sheeran &amp; Arijit Singh’s Sapphire, which is a great example of India-UK cultural partnership! h…",1802310991642013696,kushwahatushar4,False,85,world,52786,1595931,"October 9, 2025 at 11:49 AM",Positive
Keir Starmer (UK PM),codomain,1976206746566938871,https://x.com/kushwahatushar4/status/1976206746566938871,"RT @narendramodi: The path-breaking India-UK CETA will create new job opportunities for youth, expand trade and benefit both our industries…",1802310991642013696,kushwahatushar4,False,85,world,26905,752618,"October 9, 2025 at 08:42 AM",Positive
Keir Starmer (UK PM),codomain,1976185523799719948,https://x.com/kushwahatushar4/status/1976185523799719948,"RT @Keir_Starmer: Our deal with India means:

More investment in the UK.
Thousands of new jobs across the country.
More money for you and y…",1802310991642013696,kushwahatushar4,False,85,world,14427,604243,"October 9, 2025 at 07:18 AM",Positive
Keir Starmer (UK PM),codomain,1975864601826013515,https://x.com/kushwahatushar4/status/1975864601826013515,"RT @AmitShah: Hello everyone,

I have switched to Zoho Mail. Kindly note the change in my email address.

My new email address is amitshah.…",1802310991642013696,kushwahatushar4,False,85,world,97365,7316819,"October 8, 2025 at 10:03 AM",Positive
Keir Starmer (UK PM),codomain,1975818203675951190,https://x.com/kushwahatushar4/status/1975818203675951190,RT @narendramodi: Welcome Prime Minister Keir Starmer on your historic first visit to India with the largest ever trade delegation from the…,1802310991642013696,kushwahatushar4,False,85,world,118375,8828996,"October 8, 2025 at 06:59 AM",Positive
Keir Starmer (UK PM),codomain,1976319977147060265,https://x.com/Priyaloshini/status/1976319977147060265,"RT @narendramodi: The path-breaking India-UK CETA will create new job opportunities for youth, expand trade and benefit both our industries…",317586766,Priyaloshini,False,17,,26909,752618,"October 9, 2025 at 04:12 PM",Positive
Keir Starmer (UK PM),codomain,1973738205842415721,https://x.com/kumarj9/status/1973738205842415721,Fact-check. @LavanyaBallal,228017652,kumarj9,True,881,,1,36,"October 2, 2025 at 01:13 PM",Positive
Keir Starmer (UK PM),codomain,1974881208892039545,https://x.com/MarquisCustine/status/1974881208892039545,"RT @StateDept: “I would remind everybody at the end of this, if a terrorist group remains active in Gaza, you’re not going to have peace. T…",1517960411932282880,MarquisCustine,False,49,,14162,345350,"October 5, 2025 at 04:55 PM",Positive
Keir Starmer (UK PM),codomain,1976319927998087188,https://x.com/samaraisthebest/status/1976319927998087188,"RT @narendramodi: The path-breaking India-UK CETA will create new job opportunities for youth, expand trade and benefit both our industries…",1171484474,samaraisthebest,False,15,,26909,752618,"October 9, 2025 at 04:12 PM",Positive
Keir Starmer (UK PM),codomain,1976326628969156632,https://x.com/MonolitoMutante/status/1976326628969156632,"RT @nadaa01012: Greta Thunberg,
deserves the nobel peace prize، 
say yes https://t.co/pXilDnpjov",2786357659,MonolitoMutante,False,735,,11233,126842,"October 9, 2025 at 04:39 PM",Positive
Keir Starmer (UK PM),codomain,1976313349337121063,https://x.com/MonolitoMutante/status/1976313349337121063,#IsraelEstadoGenocida,2786357659,MonolitoMutante,False,735,,0,3,"October 9, 2025 at 03:46 PM",Positive
Keir Starmer (UK PM),codomain,1976313260560482567,https://x.com/MonolitoMutante/status/1976313260560482567,#IsraelEstadoGenocida,2786357659,MonolitoMutante,False,735,,0,5,"October 9, 2025 at 03:46 PM",Positive
Keir Starmer (UK PM),codomain,1976313082654883949,https://x.com/MonolitoMutante/status/1976313082654883949,"RT @DaniMayakovski: A la misma vez que se anunciaba un ""cese al fuego"" en Gaza, los tanques sionistas bombardeaban a familias palestinas qu…",2786357659,MonolitoMutante,False,735,,493,8010,"October 9, 2025 at 03:45 PM",Positive
Keir Starmer (UK PM),codomain,1976319520391430412,https://x.com/GarrettRod14713/status/1976319520391430412,"RT @narendramodi: India-UK friendship is on the move and is filled with great vigour! 

A picture from earlier today, when my friend PM Sta…",1948543742610489344,GarrettRod14713,False,17,"Slidell, LA",30625,627731,"October 9, 2025 at 04:11 PM",Positive
Keir Starmer (UK PM),codomain,1976326814571299148,https://x.com/SubodhC68/status/1976326814571299148,"RT @narendramodi: Phase 2B of the Mumbai Metro Line-3 is a significant enhancement to Mumbai’s infrastructure! 

Metro connectivity is esse…",1114419620713074688,SubodhC68,False,195,"Gandhinagar, India",76325,6289052,"October 9, 2025 at 04:40 PM",Positive
Keir Starmer (UK PM),codomain,1976326071248355416,https://x.com/SubodhC68/status/1976326071248355416,RT @narendramodi: Welcome Prime Minister Keir Starmer on your historic first visit to India with the largest ever trade delegation from the…,1114419620713074688,SubodhC68,False,195,"Gandhinagar, India",118377,8829680,"October 9, 2025 at 04:37 PM",Positive
Keir Starmer (UK PM),codomain,1976321822468735323,https://x.com/SubodhC68/status/1976321822468735323,RT @narendramodi: Greetings to all the courageous Air Warriors and their families on Air Force Day. The Indian Air Force epitomises bravery…,1114419620713074688,SubodhC68,False,195,"Gandhinagar, India",38662,2480513,"October 9, 2025 at 04:20 PM",Positive
Keir Starmer (UK PM),codomain,1976321812020723803,https://x.com/SubodhC68/status/1976321812020723803,"RT @narendramodi: At 9:45 AM tomorrow, 8th October, I will take part in the India Mobile Congress being held in Yashobhoomi, New Delhi. Thi…",1114419620713074688,SubodhC68,False,195,"Gandhinagar, India",30012,2896112,"October 9, 2025 at 04:20 PM",Positive
Keir Starmer (UK PM),codomain,1976321801019093116,https://x.com/SubodhC68/status/1976321801019093116,"RT @narendramodi: Поговорил со своим другом Президентом Путиным и выразил теплые поздравления по случаю его дня рождения, а также пожелания…",1114419620713074688,SubodhC68,False,195,"Gandhinagar, India",24972,2209432,"October 9, 2025 at 04:20 PM",Positive
Keir Starmer (UK PM),codomain,1976279962073358474,https://x.com/VikasSingh1502/status/1976279962073358474,"RT @narendramodi: Wonderful rendition of Ed Sheeran &amp; Arijit Singh’s Sapphire, which is a great example of India-UK cultural partnership! h…",1057629410973503489,VikasSingh1502,False,123,"काशी, BHARAT",52816,1597842,"October 9, 2025 at 01:33 PM",Positive
Keir Starmer (UK PM),codomain,1976255262303343015,https://x.com/kanchanmis23943/status/1976255262303343015,"RT @narendramodi: Wonderful rendition of Ed Sheeran &amp; Arijit Singh’s Sapphire, which is a great example of India-UK cultural partnership! h…",1915069523205795840,kanchanmis23943,True,1950, भारत ,52827,1597842,"October 9, 2025 at 11:55 AM",Positive
Keir Starmer (UK PM),codomain,1976277055043142018,https://x.com/kanchanmis23943/status/1976277055043142018,"RT @narendramodi: In the past decade, the way we have democratised digital technology has made it an effective example of good governance i…",1915069523205795840,kanchanmis23943,True,1950, भारत ,4110,102800,"October 9, 2025 at 01:22 PM",Positive
Keir Starmer (UK PM),codomain,1976321376903684592,https://x.com/HonesCraig/status/1976321376903684592,"RT @ImtiazMadmood: In Sharia Law women &amp; girls are treated  like Property or even Slaves .   

Public beatings of women while men watch, is…",1821136683833659392,HonesCraig,False,486,,7160,211372,"October 9, 2025 at 04:18 PM",Positive
Keir Starmer (UK PM),codomain,1976319481426424044,https://x.com/HonesCraig/status/1976319481426424044,"RT @Basil_TGMD: Muslims in Britain say if you put up a Union Jack 🇬🇧 in an 'immigrant area' you'll be beaten up and attacked

Mass deportat…",1821136683833659392,HonesCraig,False,486,,6353,86257,"October 9, 2025 at 04:10 PM",Positive
Keir Starmer (UK PM),codomain,1975955112586875139,https://x.com/HonesCraig/status/1975955112586875139,"RT @DaveAtherton20: It seems Tunisia has a zero tolerance to African illegal migrants. Their boats are sunk off the coast, as they get batt…",1821136683833659392,HonesCraig,False,486,,15439,489555,"October 8, 2025 at 04:03 PM",Positive
Keir Starmer (UK PM),codomain,1975768552381579414,https://x.com/HonesCraig/status/1975768552381579414,"RT @Suffragent_: Police arrest two Afghans behind the UK’s biggest phone-snatching gang. 

Officers found more than 40,000 stolen devices w…",1821136683833659392,HonesCraig,False,486,,39285,927342,"October 8, 2025 at 03:41 AM",Positive
Keir Starmer (UK PM),codomain,1975766372027138166,https://x.com/HonesCraig/status/1975766372027138166,RT @RadioGenoa: The fake asylum seeker with the lighter near the gas pipes in Florence wants to blow everything up. https://t.co/PHD7NTGFYK,1821136683833659392,HonesCraig,False,486,,90870,7412337,"October 8, 2025 at 03:33 AM",Positive
Keir Starmer (UK PM),codomain,1976322556270698766,https://x.com/Helenspicer15/status/1976322556270698766,RT @SonnyBWilliams: “If they’re treating me like this. With the passport I have imagine what they’re doing to the Palestinians in prison mo…,1425368203996372994,Helenspicer15,False,6658,,9248,282281,"October 9, 2025 at 04:23 PM",Positive
Keir Starmer (UK PM),codomain,1976317519389671637,https://x.com/Helenspicer15/status/1976317519389671637,😂😂😂😂,1425368203996372994,Helenspicer15,False,6658,,0,13,"October 9, 2025 at 04:03 PM",Positive
Keir Starmer (UK PM),codomain,1976323576124063800,https://x.com/Simmo1881/status/1976323576124063800,RT @VigilantFox: Joe Rogan’s face hardens with grief over the UK’s push for digital IDs and the arrest of citizens for social media posts.…,703760808,Simmo1881,False,209,Where ever I want to be,37158,1253118,"October 9, 2025 at 04:27 PM",Positive
Keir Starmer (UK PM),codomain,1975795861633573076,https://x.com/Simmo1881/status/1975795861633573076,"RT @Basil_TGMD: 🚨BREAKING: MAN ARRESTED FOR ARSON ATTACK ON MOSQUE IS MUSLIM

43-year-old, Arif Ali Rafiq has been charged in connection wi…",703760808,Simmo1881,False,209,Where ever I want to be,26837,756790,"October 8, 2025 at 05:30 AM",Positive
Keir Starmer (UK PM),codomain,1975792845522149775,https://x.com/Simmo1881/status/1975792845522149775,"RT @policylaila: Why does Labour stand up for illegal migrants but turn their backs on us, the ones who follow them, pay our taxes, and kee…",703760808,Simmo1881,False,209,Where ever I want to be,12841,243933,"October 8, 2025 at 05:18 AM",Positive
Keir Starmer (UK PM),codomain,1974396969008394454,https://x.com/Simmo1881/status/1974396969008394454,"RT @AmyMek: 🚨 UK Gov’t ISLAM Whitewash Alert 🚨

The UK government wants you to believe that Jihad Al-Shamie’s bloody synagogue attack in Ma…",703760808,Simmo1881,False,209,Where ever I want to be,4703,249699,"October 4, 2025 at 08:51 AM",Positive
Keir Starmer (UK PM),codomain,1974176993630691609,https://x.com/Simmo1881/status/1974176993630691609,RT @RupertLowe10: Nobody voted for Digital ID.,703760808,Simmo1881,False,209,Where ever I want to be,50187,532861,"October 3, 2025 at 06:17 PM",Positive
Keir Starmer (UK PM),codomain,1976324411713257693,https://x.com/P1P3R00/status/1976324411713257693,"RT @VigilantFox: DISTURBING: Banks are now deciding who you can be friends with—and freezing your money if you refuse to comply.

Across Au…",697101393941962752,P1P3R00,False,1313,"Richards Castle, England",5063,195311,"October 9, 2025 at 04:30 PM",Positive
Keir Starmer (UK PM),codomain,1976193192409301441,https://x.com/hatfulls71/status/1976193192409301441,RT @elonmusk: Protesting attempted rape is punished more than attempted rape in Britain …,1946895157963661312,hatfulls71,False,46,,297505,26102643,"October 9, 2025 at 07:49 AM",Positive
Keir Starmer (UK PM),codomain,1976017736305082482,https://x.com/hatfulls71/status/1976017736305082482,"RT @Suffragent_: Police arrest two Afghans behind the UK’s biggest phone-snatching gang. 

Officers found more than 40,000 stolen devices w…",1946895157963661312,hatfulls71,False,46,,39285,927360,"October 8, 2025 at 08:11 PM",Positive
Keir Starmer (UK PM),codomain,1975624095279829442,https://x.com/hatfulls71/status/1975624095279829442,RT @BenedictSpence: This person has no business working in the NHS. https://t.co/OiknBGxoEC,1946895157963661312,hatfulls71,False,46,,11746,132598,"October 7, 2025 at 06:07 PM",Positive
Keir Starmer (UK PM),codomain,1975616864186421353,https://x.com/hatfulls71/status/1975616864186421353,RT @LeilaniDowding: Well look that!  👀 👀 https://t.co/mk2F6PQL3H,1946895157963661312,hatfulls71,False,46,,10179,383668,"October 7, 2025 at 05:39 PM",Positive
Keir Starmer (UK PM),codomain,1975274287637385368,https://x.com/hatfulls71/status/1975274287637385368,"RT @TheGriftReport: SIMON JORDAN EVISCERATES GARY NEVILLE OVER HIS CLAIMS ABOUT ""MIDDLE AGE WHITE MEN""

WELL, SAID SIMON 👏 https://t.co/aXq…",1946895157963661312,hatfulls71,False,46,,29373,1453926,"October 6, 2025 at 06:57 PM",Positive
Keir Starmer (UK PM),codomain,1975273223873786239,https://x.com/hatfulls71/status/1975273223873786239,"RT @VividProwess: BREAKING: Germany announced that if Israel is expelled from Eurovision, Germany will also not participate in Eurovision.…",1946895157963661312,hatfulls71,False,46,,72605,1595772,"October 6, 2025 at 06:53 PM",Positive
